scenario,year,corridor,policy,contacts,relevant_contacts,shifted_transfers,planned_transfers,completed_transfers,organic_volume_rub,policy_volume_rub,gross_timing_value_rub,net_scenario_value_rub,execution_drag_rub,shifted_amount_rub,sum_advance_days,hurt_transfers,contact_target_sum,contact_forward_bps_sum,own_h_target_sum,all_date_h5_base_sum,exposure_weeks,contacts_per_week,relevance,h5_quality,own_h_quality,h5_unconditional_same_dates,forward_bps_per_contact,timing_bps_all_volume,h5_lift_vs_unconditional
base,2024,AMD,group_aware,5.090347923681257,3.1955667789001123,1.0072951739618408,8.103535353535353,8.103535353535353,487677.95040737744,487677.95040737744,85.51775763182447,80.42740970814322,0.0,61602.10064144507,3.7398989898989896,0.3557800224466891,2.043490460157127,107.25864184180398,1.1921997755331089,1.830739165534487,48.285714285714285,0.105421406703458,0.627769815896814,0.4014441627163488,0.2342079153345827,0.3596491228070175,21.070984429731528,1.7535703133674172,0.04179503990933131
base,2024,AMD,group_expected_budget,5.090347923681257,3.1955667789001123,1.0072951739618408,8.103535353535353,8.103535353535353,487677.95040737744,487677.95040737744,85.51775763182447,80.42740970814322,0.0,61602.10064144507,3.7398989898989896,0.3557800224466891,2.043490460157127,107.25864184180398,1.1921997755331089,1.830739165534487,48.285714285714285,0.105421406703458,0.627769815896814,0.4014441627163488,0.2342079153345827,0.3596491228070175,21.070984429731528,1.7535703133674172,0.04179503990933131
base,2024,AMD,group_unconstrained_expected_budget,5.084175084175084,3.014590347923681,0.7760942760942761,8.103535353535353,8.103535353535353,487677.95040737744,487677.95040737744,178.27777802580283,173.19360294162774,0.0,47591.225890658505,3.2648709315375983,0.25280583613916946,1.9974747474747474,131.18550197583045,1.829124579124579,1.8285191092208635,48.285714285714285,0.10529356683202837,0.5929359823399558,0.3928807947019868,0.35976821192052977,0.35964912280701755,25.802711315775923,3.6556456546144864,0.03323167189496923
base,2024,AMD,group_unconstrained_exploratory,9.104657687991022,5.297979797979798,1.4520202020202022,8.103535353535353,8.103535353535353,487677.95040737744,487677.95040737744,181.96890409791015,172.86424640991913,0.0,92295.88456586478,6.3580246913580245,0.5129068462401796,3.562008978675645,185.24541120518316,3.1851851851851856,3.274482150944139,48.285714285714285,0.18855799945543536,0.5818977472341211,0.3912293136922555,0.3498412894079941,0.3596491228070175,20.34622470754947,3.7313334331786794,0.031580190885238
base,2024,AMD,random_expected_budget,4.723905723905723,2.721941638608305,0.8866442199775533,8.103535353535353,8.103535353535353,487677.95040737744,487677.95040737744,141.18337958281893,136.4594738589132,0.0,69786.190895468,3.728956228956229,0.2993827160493827,1.8616722783389452,133.86124642177452,1.8616722783389452,1.6989485498257428,48.285714285714285,0.09783236706313628,0.5762057495842243,0.3940959847944881,0.3940959847944881,0.3596491228070176,28.336985165550278,2.8950125685379593,0.03444686198747049
base,2024,AMD,universal,8.924803591470258,5.066498316498317,1.4565095398428731,8.103535353535353,8.103535353535353,487677.95040737744,487677.95040737744,816.71363554963,807.7888319581598,0.0,92766.40050639902,6.428451178451178,0.30920314253647585,4.538720538720539,472.0570459630277,6.59006734006734,3.209797782897198,48.285714285714285,0.18483321047423612,0.5676873742454729,0.5085513078470825,0.7383991448692152,0.35964912280701755,52.892709752648095,16.746987122698403,0.14890218504006492
base,2024,AMD,universal_expected_budget,4.1787317620650954,2.5016835016835017,0.7149270482603816,8.103535353535353,8.103535353535353,487677.95040737744,487677.95040737744,643.9371317775718,639.7584000155068,0.0,49744.46363464261,2.6512345679012346,0.09483726150392818,2.3181818181818183,297.0750545674979,3.19668911335578,1.5028772126725345,48.285714285714285,0.08654178205460257,0.598670516349963,0.55475726851541,0.7649902638823608,0.3596491228070176,71.09215701863711,13.204146942457921,0.19510814570839236
base,2024,AMD,v3_readiness,7.306397306397306,4.293771043771043,1.3243546576879912,8.103535353535353,8.103535353535353,487677.95040737744,487677.95040737744,1059.9003889279243,1052.593991621527,0.0,96937.24471470373,5.869809203142536,0.2934904601571268,3.705948372615039,311.6648660422199,3.705948372615039,2.6277393821253474,48.285714285714285,0.15131592054668977,0.5876728110599078,0.5072196620583718,0.5072196620583718,0.3596491228070176,42.65643558273701,21.733613095333627,0.14757053925135416
base,2024,AMD,weekly_expected_budget,4.679292929292929,2.824915824915825,0.8886083052749719,8.103535353535353,8.103535353535353,487677.95040737744,487677.95040737744,74.08859499545733,69.4093020661644,0.0,62107.6484970044,3.9346240179573506,0.32379349046015715,1.7612233445566778,97.51233818608739,1.7612233445566778,1.6829035973772817,48.285714285714285,0.09690843344689498,0.6037057024644721,0.37638664028302454,0.37638664028302454,0.3596491228070176,20.839118144463363,1.5192114987681538,0.016737517476006936
base,2024,KGS,group_aware,4.713804713804714,2.9121773288439954,0.8700897867564535,8.012065095398428,8.012065095398428,456356.07610070624,456356.07610070624,127.6532983369582,122.93949362315348,0.0,42798.508472995076,3.137205387205387,0.30162738496071834,1.856060606060606,108.30879671574081,1.1776094276094276,1.8193632228719947,48.285714285714285,0.09762317454625147,0.617797619047619,0.39375,0.24982142857142856,0.38596491228070173,22.97693758898216,2.7972301678917133,0.007785087719298256
