seed,year,user_id,segment,interval_days,estimated_interval,transfers,transfers_per_year,urgent_fraction,median_advance_window,amount_cv,readiness_day_fraction,intent_tpr,intent_fpr
4101,2023,0,frequent,7.0,7.133127744671121,50,52.478448275862064,0.22,2.0,0.3397949237756128,0.22126436781609196,0.6883116883116883,0.033210332103321034
4101,2023,1,frequent,7.0,6.796190939882971,50,52.478448275862064,0.2,2.0,0.38196702943464755,0.23275862068965517,0.7777777777777778,0.00749063670411985
4101,2023,2,frequent,7.0,7.2095859206145665,49,51.428879310344826,0.20408163265306123,2.0,0.4252868201314821,0.23275862068965517,0.7283950617283951,0.026217228464419477
4101,2023,3,frequent,7.0,7.784273342166501,50,52.478448275862064,0.18,2.0,0.4715151204765931,0.22988505747126436,0.6875,0.04477611940298507
4101,2023,4,frequent,7.0,6.886863352938239,49,51.428879310344826,0.08163265306122448,2.0,0.5870329478398995,0.25287356321839083,0.5909090909090909,0.023076923076923078
4101,2023,5,frequent,7.0,7.751713182174344,49,51.428879310344826,0.12244897959183673,2.0,0.42140463145914125,0.25287356321839083,0.6136363636363636,0.023076923076923078
4101,2023,6,frequent,14.0,14.131831655816896,25,26.239224137931032,0.12,2.0,0.38421103329487194,0.11781609195402298,0.7317073170731707,0.026058631921824105
4101,2023,7,frequent,7.0,6.985705579431121,50,52.478448275862064,0.18,2.0,0.5029553286579364,0.23563218390804597,0.6951219512195121,0.03007518796992481
4101,2023,8,frequent,7.0,7.195219995296046,50,52.478448275862064,0.22,2.0,0.3710173522015867,0.20689655172413793,0.6944444444444444,0.028985507246376812
4101,2023,9,frequent,7.0,7.273276483912715,50,52.478448275862064,0.28,2.0,0.43073571907716524,0.22701149425287356,0.6329113924050633,0.048327137546468404
4101,2023,10,frequent,14.0,13.667455583977892,25,26.239224137931032,0.2,2.0,0.4013798470519674,0.11206896551724138,0.6923076923076923,0.019417475728155338
4101,2023,11,frequent,14.0,14.305133956478716,24,25.189655172413794,0.16666666666666666,2.0,0.3622498477977363,0.11494252873563218,0.725,0.025974025974025976
4101,2023,12,frequent,7.0,6.582950339709271,50,52.478448275862064,0.22,2.0,0.4027824844630799,0.21551724137931033,0.7333333333333333,0.040293040293040296
4101,2023,13,frequent,7.0,6.922952943953902,49,51.428879310344826,0.14285714285714285,2.0,0.40829807973231513,0.23563218390804597,0.7317073170731707,0.03759398496240601
4101,2023,14,frequent,14.0,13.828691497535821,25,26.239224137931032,0.24,1.0,0.35477689475144775,0.09482758620689655,0.6666666666666666,0.03492063492063492
4101,2023,15,frequent,14.0,14.32071827427421,25,26.239224137931032,0.36,1.0,0.4125087165721299,0.07758620689655173,0.6296296296296297,0.024922118380062305
4101,2023,16,frequent,14.0,14.052741306263691,25,26.239224137931032,0.2,2.0,0.31914882663705657,0.10919540229885058,0.6052631578947368,0.03225806451612903
4101,2023,17,frequent,14.0,14.104580890363295,25,26.239224137931032,0.08,2.0,0.6022194427483967,0.11206896551724138,0.8461538461538461,0.04854368932038835
4101,2023,18,frequent,14.0,14.373428903255746,25,26.239224137931032,0.2,2.0,0.400786322376523,0.11494252873563218,0.775,0.00974025974025974
4101,2023,19,frequent,7.0,7.3102570178162765,49,51.428879310344826,0.10204081632653061,2.0,0.34048852015030834,0.25,0.7126436781609196,0.034482758620689655
4101,2023,20,monthly,30.4375,29.06892845885389,12,12.594827586206897,0.3333333333333333,3.5,0.3601700100140452,0.09482758620689655,0.7272727272727273,0.031746031746031744
4101,2023,21,monthly,30.4375,30.165742685398328,12,12.594827586206897,0.3333333333333333,4.5,0.4825919623975501,0.1206896551724138,0.6190476190476191,0.042483660130718956
4101,2023,22,monthly,30.4375,31.08047230104986,11,11.545258620689657,0.18181818181818182,4.0,0.4133176040214756,0.10919540229885058,0.7631578947368421,0.02903225806451613
4101,2023,23,monthly,30.4375,29.826517496832665,12,12.594827586206897,0.16666666666666666,6.0,0.32341613468057856,0.1724137931034483,0.7,0.034722222222222224
4101,2023,24,monthly,30.4375,31.076866803945386,12,12.594827586206897,0.08333333333333333,5.0,0.47329547481433865,0.16666666666666666,0.6551724137931034,0.03793103448275862
4101,2023,25,monthly,30.4375,30.142467244666,12,12.594827586206897,0.4166666666666667,3.5,0.2810875468020525,0.08908045977011494,0.7096774193548387,0.028391167192429023
4101,2023,26,monthly,30.4375,30.043131770359373,11,11.545258620689657,0.18181818181818182,5.0,0.29679108205537574,0.1206896551724138,0.6428571428571429,0.029411764705882353
