quote,target,date,rub_per_quote,log_return,annotation
AMD,True,2022-03-07,0.2841139426993199,0.24832935582856197,Observed jump; not automatically invalid; retained unchanged.
AMD,True,2022-02-28,0.2180988613745476,0.22048727256533862,Observed jump; not automatically invalid; retained unchanged.
AMD,True,2022-03-21,0.2182131960155791,-0.1764583728887541,Observed jump; not automatically invalid; retained unchanged.
AMD,True,2014-12-16,0.1461183961155567,0.16769864844245452,Observed jump; not automatically invalid; retained unchanged.
AMD,True,2022-03-20,0.2603250184157736,0.1657296088226179,Observed jump; not automatically invalid; retained unchanged.
AZN,False,2015-12-24,45.23827496346325,-0.387135335117164,Observed jump; not automatically invalid; retained unchanged.
AZN,False,2022-03-07,83.92160764705882,0.2414430198995161,Observed jump; not automatically invalid; retained unchanged.
AZN,False,2015-02-23,61.63390461456646,-0.23842422045226108,Observed jump; not automatically invalid; retained unchanged.
AZN,False,2022-02-28,61.769705882352945,0.22781863253964296,Observed jump; not automatically invalid; retained unchanged.
AZN,False,2022-03-21,62.73529764705883,-0.1760509361145992,Observed jump; not automatically invalid; retained unchanged.
BYN,False,2011-11-08,35.12068845904616,-0.3909503890468433,Observed jump; not automatically invalid; retained unchanged.
BYN,False,2011-11-15,34.98307658468107,-0.38528787979834034,Observed jump; not automatically invalid; retained unchanged.
BYN,False,2011-11-09,51.29929616966354,0.3788866605702159,Observed jump; not automatically invalid; retained unchanged.
BYN,False,2011-10-31,52.47745952257474,-0.2571113642132845,Observed jump; not automatically invalid; retained unchanged.
BYN,False,2011-05-26,71.01295351282369,-0.2549859483976169,Observed jump; not automatically invalid; retained unchanged.
KGS,True,2022-03-07,1.482751639742404,0.24144301989951664,Observed jump; not automatically invalid; retained unchanged.
KGS,True,2022-03-21,1.0365560394965831,-0.21634403091790733,Observed jump; not automatically invalid; retained unchanged.
KGS,True,2017-08-20,0.8575502886377774,-0.20649491418378552,Observed jump; not automatically invalid; retained unchanged.
KGS,True,2017-08-18,1.0542392936388845,0.20117884954101894,Observed jump; not automatically invalid; retained unchanged.
KGS,True,2022-02-28,1.1081287858002151,0.17383189505174662,Observed jump; not automatically invalid; retained unchanged.
KZT,True,2022-03-07,0.2800728586168903,0.24804581088010358,Observed jump; not automatically invalid; retained unchanged.
KZT,True,2015-08-25,0.2908385611617993,-0.21518767861077248,Observed jump; not automatically invalid; retained unchanged.
KZT,True,2022-03-21,0.209596172227372,-0.17650506400051236,Observed jump; not automatically invalid; retained unchanged.
KZT,True,2014-02-18,0.1918849036395054,-0.16994348414278604,Observed jump; not automatically invalid; retained unchanged.
KZT,True,2022-03-20,0.2500567154684177,0.1681117711187139,Observed jump; not automatically invalid; retained unchanged.
MDL,False,2022-03-07,7.800269010741184,0.24628644468664995,Observed jump; not automatically invalid; retained unchanged.
MDL,False,2022-02-28,5.838968176585019,0.2358451258668406,Observed jump; not automatically invalid; retained unchanged.
MDL,False,2022-03-21,5.780401972328326,-0.17632099565293058,Observed jump; not automatically invalid; retained unchanged.
MDL,False,2022-03-20,6.894984210876998,0.16838183065704548,Observed jump; not automatically invalid; retained unchanged.
MDL,False,2014-12-16,4.427644232477576,0.16159743889177358,Observed jump; not automatically invalid; retained unchanged.
TJS,True,2022-03-07,12.665195995444437,0.24805339200679422,Observed jump; not automatically invalid; retained unchanged.
TJS,True,2022-02-28,9.29677123595792,0.22081043191978278,Observed jump; not automatically invalid; retained unchanged.
TJS,True,2022-03-21,8.19965469960511,-0.1764968076081037,Observed jump; not automatically invalid; retained unchanged.
TJS,True,2022-03-20,9.782439114740823,0.16811177111871345,Observed jump; not automatically invalid; retained unchanged.
TJS,True,2014-12-16,13.293913397702308,0.16505996763537123,Observed jump; not automatically invalid; retained unchanged.
TMT,False,2022-03-07,40.761923714285714,0.24429608888192256,Observed jump; not automatically invalid; retained unchanged.
TMT,False,2022-02-28,29.95962910128388,0.2292441495308637,Observed jump; not automatically invalid; retained unchanged.
TMT,False,2022-03-21,30.384617094017095,-0.17890400509700521,Observed jump; not automatically invalid; retained unchanged.
TMT,False,2015-02-23,18.212378571428573,-0.16894467611702924,Observed jump; not automatically invalid; retained unchanged.
TMT,False,2022-03-20,36.337144,0.16811177111871345,Observed jump; not automatically invalid; retained unchanged.
UZS,True,2017-09-05,0.0071183327358805,-0.6553526384072024,Observed jump; not automatically invalid; retained unchanged.
UZS,True,2022-03-07,0.0131029671586942,0.24665241479255595,Observed jump; not automatically invalid; retained unchanged.
UZS,True,2022-02-28,0.0096426538108356,0.2177878580423407,Observed jump; not automatically invalid; retained unchanged.
UZS,True,2019-04-01,0.0077590380433913,-0.18737391432364792,Observed jump; not automatically invalid; retained unchanged.
UZS,True,2022-03-21,0.0092614163324301,-0.18456692078902837,Observed jump; not automatically invalid; retained unchanged.
